83 213.39.228.238 1196138721 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
84 213.39.228.238 1196138796 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
85 213.39.228.238 1196138827 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
86 213.39.228.238 1196138904 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
87 213.39.228.238 1196138910 http://freemee.de/junkjet/index.php?status=added Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
88 213.39.228.238 1196138916  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
89 213.39.228.238 1196138956  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
90 213.39.228.238 1196138978  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
91 213.39.228.238 1196139006  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
92 213.39.228.238 1196139020  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
93 213.39.228.238 1196139039  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
94 213.39.228.238 1196139066  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
95 213.39.228.238 1196139121  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
96 213.39.228.238 1196139183  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
97 213.39.228.238 1196139213  Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
98 213.39.228.238 1196139437 http://jamaica-fuchs.com/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
99 213.39.228.238 1196139756 http://freemee.de/junkjet/ Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
100 213.39.228.238 1196139760 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
101 213.39.228.238 1196139762 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
102 213.39.228.238 1196139764 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
103 213.39.228.238 1196139768 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
104 213.39.228.238 1196139768 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
105 213.39.228.238 1196139768 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
106 213.39.228.238 1196139769 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
107 213.39.228.238 1196139769 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
108 213.39.228.238 1196139769 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
109 213.39.228.238 1196139770 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
110 213.39.228.238 1196139770 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
111 213.39.228.238 1196139770 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
112 213.39.228.238 1196139770 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
113 213.39.228.238 1196140095 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
114 213.39.228.238 1196140133 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
115 213.39.228.238 1196140247 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
116 213.39.228.238 1196140265 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
117 213.39.228.238 1196140299 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
118 213.39.228.238 1196140314 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
119 213.39.228.238 1196140387 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
120 213.39.228.238 1196140440 http://freemee.de/junkjet/index.php?status= Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
121 213.39.228.238 1196140506 http://freemee.de/junkjet/test2.php?now=1196140440&domain=213.39.228.238&point.x=115&point.y=100 Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
122 213.39.228.238 1196140565 http://freemee.de/junkjet/test2.php?now=1196140440&domain=213.39.228.238&point.x=115&point.y=100 Mozilla/5.0 (Macintosh; U; Intel Mac OS X; de-de) AppleWebKit/523.12 (KHTML, like Gecko) Version/3.0.4 Safari/523.12 
